site,rep,pl_div,pl_phyl_div,conn,int_even,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Bystock,10,42,2415.468404,0.038506760728983,0.544024133063774,0.072798120988204,0.904947708046019,0.648758051188485,NA,0.762816679963781,0.621112056952574,NA
Dolebury_Warren,10,40,2333.681734,0.0431818181818182,0.565274452384503,0.0945837987706448,0.943443331546014,0.642535969054474,NA,0.784731957249931,0.612623899772934,0.726209365996279
Haddon_Hill,10,16,1482.070839,0.0793269230769231,0.498800488105098,0.000628985714129544,0.881349214173643,0.626292762988686,NA,0.781086926803904,0.597191157449517,NA
Hangman_Hill,10,29,1862.289646,0.0579937304075235,0.560072230207183,0.0062774588076068,0.94377166376158,0.610052537708362,NA,0.790126948869494,0.579765595357858,0.725309761347637
Lytchett_Bay,10,16,1409.744992,0.0822368421052632,0.559578262426839,0.00293701638047431,0.900468851831046,0.641054404920309,NA,0.818817209766424,0.619802714258132,0.730405342826473
Merthyr_Mawr,10,30,1572.906729,0.0572072072072072,0.57320721815088,0.0202695133578469,0.936755853242901,0.636301753426681,0.760321373234584,0.803253210834509,0.615642123081285,0.710086716009674
Oxwich_Bay,10,33,1953.329657,0.0550628233555063,0.587125703832076,0.107670517050861,0.937871395895726,0.637284334549316,0.766404536009968,0.764346712341365,0.609172633375471,0.752572438162191
Woodland_Hill,10,20,1705.490839,0.0743243243243243,0.538333405911506,0.00388957485329222,0.861629859970772,0.629415719718162,0.754551687658115,0.74307189457837,0.601317803984468,0.734632275959707
Woolacombe,10,32,1829.185896,0.05125,0.590761240851399,0.0353488902162519,0.921935424339455,0.634973773877063,0.746083813533704,0.800236156468551,0.614447822751205,0.69390497075769
Arne,11,15,1329.745001,0.0919540229885057,0.550346949481202,0.000163332192485989,0.915205765046631,0.622089601297483,NA,0.816525706715558,0.593674706700304,NA
Bystock,11,41,2459.116618,0.0447154471544715,0.547252927823945,0.0530234800589906,0.940192593757975,0.644474866024799,NA,0.771379839659788,0.613883249578081,0.763707924051904
Dolebury_Warren,11,39,2215.829652,0.0465587044534413,0.574138135113947,0.0706615137884432,0.948072542254287,0.639478906052222,0.761197562494056,0.793959799281507,0.60660354468584,0.722242377843075
Haddon_Hill,11,17,1461.04501,0.0827886710239651,0.530388511936805,0.000502953376694099,0.915160996452781,0.619509443641492,0.772088965917861,0.806763732657045,0.598296748617787,0.791129160660603
Hangman_Hill,11,28,1647.869646,0.0516581632653061,0.569757506107264,0.0186822962046525,0.949042099483735,0.624955858184695,NA,0.808782590508017,0.605908214605937,NA
Lytchett_Bay,11,16,1476.020838,0.0875,0.554142338143328,0.00190085216689095,0.918131871717983,0.630024270279015,0.744594772150962,0.826203752449512,0.602169153037154,NA
Merthyr_Mawr,11,33,1607.131731,0.0485625485625486,0.555268896896159,0.00911969768195583,0.904610222870194,0.643097062785477,0.753958152813649,0.804022251091176,0.622996641467774,NA
Oxwich_Bay,11,36,2057.810904,0.0501355013550136,0.576208195873913,0.0365708042698934,0.935626001515418,0.630974342867929,0.746857601808657,0.78209623257783,0.605141867848203,NA
Woodland_Hill,11,16,1406.425014,0.0827702702702703,0.519676508202367,0.000909699500671193,0.942282376375885,0.626054847412096,0.751622853287304,0.863265241712829,0.611330601811748,0.760945330540437
Woolacombe,11,28,1563.029645,0.0619419642857143,0.597891457046748,0.0133988144186567,0.931653929886321,0.623309622623278,0.757067610774995,0.769259031100884,0.596985991920526,NA
Arne,12,15,1357.435007,0.0933333333333333,0.544044092915356,2.55301409037284e-05,0.835951998211444,0.618513714018186,0.718056947467359,0.737712627643488,0.595345068375169,NA
Bystock,12,37,2163.245896,0.0476529160739687,0.560913836386243,0.035208972738314,0.912773939478976,0.6488539661836,0.767409951386865,0.78207011240542,0.621163946953274,NA
Dolebury_Warren,12,41,2173.756735,0.0408394781622235,0.569283359724177,0.123909022999581,0.925711413610266,0.646996501505714,0.77452314941069,0.78899480039939,0.619158437212819,NA
Haddon_Hill,12,19,1626.678349,0.0701754385964912,0.496704966626125,0.000440932527482993,0.920790230480017,0.63631543305169,NA,0.804492734611061,0.60976343769032,0.739561334853663
