site,rep,pl_div,pl_phyl_div,conn,int_even,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Woodland_Hill,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,7,34,2027.614458,0.0520086083213773,0.591846008088307,0.0962778927090573,0.939668211968653,0.644726993763061,0.753324283527609,0.777814474682139,0.622984393393656,0.718777485348533
Haddon_Hill,7,6,584.775002,0.229166666666667,0.65504697250735,2.34351567570729e-09,0.844614152791858,0.552466590561529,0.769549456695248,0.795337102347935,0.540588545158943,0.767708657619841
Hangman_Hill,7,24,1426.319643,0.0672514619883041,0.563750956955125,0.00424207217052145,0.942460175001485,0.622352657366753,0.757375873869336,0.777351857671314,0.595290479529374,0.702112205488894
Lytchett_Bay,7,9,974.695007,0.128654970760234,0.543593382391661,7.58312765951838e-06,0.940384383494582,0.604950221900504,0.802799601981729,0.89276448920798,0.602054101566699,0.800897366236962
Merthyr_Mawr,7,34,1846.140481,0.0522141440846001,0.567050948704186,0.0198719165816603,0.870187148869768,0.645663142317474,0.747449805145166,0.734826044586557,0.610997447864586,0.658516665161813
Oxwich_Bay,7,24,1341.853752,0.0681089743589744,0.58788298211257,0.00353505837194325,0.968828681911641,0.628524880219177,0.786449956661496,0.843449072472409,0.61861213410644,NA
Woodland_Hill,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,8,23,1405.489636,0.077536231884058,0.602968289825543,0.0055029656814074,0.917290110977103,0.632148925627666,0.746077178367436,0.752467900476534,0.595503353321033,0.701221119679724
Haddon_Hill,8,8,656.094994,0.177631578947368,0.623145153974215,4.48089901362298e-06,0.909501199330413,0.569758735608354,0.745918207485466,0.799596983914874,0.533375298430121,0.751632545935797
Hangman_Hill,8,31,1902.328749,0.0592741935483871,0.59535438655963,0.0488023911623772,0.948887163811767,0.637131600055671,0.778292056542136,0.787669672851568,0.616677722897394,0.712767772796821
