"Site"	"Plant_Species"	"FU_Open"
"158"	"Braunton_Burrows"	"Stellaria_graminea"	6
"159"	"Braunton_Burrows"	"Taraxacum_agg."	2
"160"	"Braunton_Burrows"	"Teucrium_scorodonia"	0
"161"	"Braunton_Burrows"	"Thymus_polytrichus"	287
"162"	"Braunton_Burrows"	"Trifolium_arvense"	4
"163"	"Braunton_Burrows"	"Trifolium_pratense"	3
"164"	"Braunton_Burrows"	"Trifolium_repens"	20
"165"	"Braunton_Burrows"	"Veronica_chamaedrys"	0
"166"	"Braunton_Burrows"	"Veronica_filiformis"	1
"167"	"Braunton_Burrows"	"Veronica_persica"	0
"168"	"Braunton_Burrows"	"Vicia_cracca"	0
"169"	"Braunton_Burrows"	"Vicia_sativa"	0
"170"	"Braunton_Burrows"	"Viola_canina"	1
"171"	"Braunton_Burrows"	"Viola_tricolor"	0
"172"	"Burnham-on-Sea"	"Armeria_maritima"	0
"173"	"Burnham-on-Sea"	"Aster_tripolium"	0
"174"	"Burnham-on-Sea"	"Atriplex_hastata"	0
"175"	"Burnham-on-Sea"	"Beta_vulgaris"	0
"176"	"Burnham-on-Sea"	"Cochlearia_anglica"	20
"177"	"Burnham-on-Sea"	"Cochlearia_officinalis"	1
"178"	"Burnham-on-Sea"	"Glaux_maritima"	0
"179"	"Burnham-on-Sea"	"Grass"	0
"180"	"Burnham-on-Sea"	"Halimione_portulacoides"	0
"181"	"Burnham-on-Sea"	"Limonium_vulgare"	0
"182"	"Burnham-on-Sea"	"Plantago_maritima"	5
"183"	"Burnham-on-Sea"	"Salicornia_perennis"	0
"184"	"Burnham-on-Sea"	"Sarcocornia_perennis"	0
"185"	"Burnham-on-Sea"	"Spartina_anglica"	24
"186"	"Burnham-on-Sea"	"Spergularia_media"	4
"187"	"Burnham-on-Sea"	"Triglochin_anglicum"	0
"188"	"Burnham-on-Sea"	"Triglochin_maritima"	1
"189"	"Bystock"	"Acer_pseudoplatanus"	0
"190"	"Bystock"	"Achillea_millefolium"	0
"191"	"Bystock"	"Ajuga_reptans"	0
"192"	"Bystock"	"Arum_maculatum"	0
"193"	"Bystock"	"Betula_pendula"	0
"194"	"Bystock"	"Calluna_vulgaris"	15
"195"	"Bystock"	"Centaurium_erythraea"	0
"196"	"Bystock"	"Centaurium_pulchellum"	0
"197"	"Bystock"	"Cerastium_fontanum"	2
"198"	"Bystock"	"Circaea_lutetiana"	0
"199"	"Bystock"	"Cirsium_vulgare"	0
"200"	"Bystock"	"Corylus_avellana"	0
"201"	"Bystock"	"Crataegus_monogyna"	0
"202"	"Bystock"	"Crepis_capillaris"	0
"203"	"Bystock"	"Crepis_vesicaria"	5
"204"	"Bystock"	"Dactylorhiza_fuchsii"	0
"205"	"Bystock"	"Dryopteris_sp."	0
"206"	"Bystock"	"Erica_cinerea"	15363
"207"	"Bystock"	"Erica_tetralix"	105
"208"	"Bystock"	"Eupatorium_cannabinum"	0
"209"	"Bystock"	"Euphrasia_nemorosa"	55
"210"	"Bystock"	"Fagus_sylvatica"	0
"211"	"Bystock"	"Fragaria_vesca"	0
"212"	"Bystock"	"Fraxinus_excelsior"	0
"213"	"Bystock"	"Galium_mollugo"	0
"214"	"Bystock"	"Grass"	0
"215"	"Bystock"	"Hedera_helix"	0
"216"	"Bystock"	"Hyacinthoides_non-scripta"	0
"217"	"Bystock"	"Hypericum_pulchrum"	0
"218"	"Bystock"	"Hypochaeris_radicata"	0
"219"	"Bystock"	"Ilex_aquifolium"	0
"220"	"Bystock"	"Iris_sp."	0
"221"	"Bystock"	"Leontodon_hispidus"	0
"222"	"Bystock"	"Lonicera_periclymenum"	0
"223"	"Bystock"	"Lotus_corniculatus"	42
"224"	"Bystock"	"Lotus_pedunculatus"	23
"225"	"Bystock"	"Lotus_subbiflorus"	0
"226"	"Bystock"	"Mercurialis_perennis"	61
"227"	"Bystock"	"Pinus_sylvestris"	0
"228"	"Bystock"	"Plantago_lanceolata"	2
"229"	"Bystock"	"Polygala_calcarea"	0
"230"	"Bystock"	"Polygala_serpyllifolia"	16
"231"	"Bystock"	"Polygala_vulgaris"	5
"232"	"Bystock"	"Potentilla_erecta"	0
"233"	"Bystock"	"Potentilla_reptans"	0
"234"	"Bystock"	"Prunella_vulgaris"	10
"235"	"Bystock"	"Prunus_laurocerasus"	0
"236"	"Bystock"	"Quercus_cerris"	0
"237"	"Bystock"	"Quercus_robur"	0
"238"	"Bystock"	"Ranunculus_acris"	3
"239"	"Bystock"	"Ranunculus_bulbosus"	0
"240"	"Bystock"	"Ranunculus_repens"	3
"241"	"Bystock"	"Rubus_fruiticosus"	2
"242"	"Bystock"	"Rubus_fruticosus"	2
"243"	"Bystock"	"Rumex_acetosa"	0
"244"	"Bystock"	"Rumex_acetosella"	177
"245"	"Bystock"	"Rush"	0
"246"	"Bystock"	"Salix_repens"	0
"247"	"Bystock"	"Taraxacum_agg."	0
"248"	"Bystock"	"Teucrium_scorodonia"	0
"249"	"Bystock"	"Trifolium_pratense"	0
"250"	"Bystock"	"Trifolium_repens"	2
"251"	"Bystock"	"Ulex_europaeus"	7
"252"	"Bystock"	"Veronica_chamaedrys"	17
"253"	"Bystock"	"Veronica_montana"	33
"254"	"Bystock"	"Veronica_officinalis"	5
"255"	"Bystock"	"Vicia_sativa"	0
"256"	"Bystock"	"Viola_riviniana"	0
"257"	"Chagford_Common"	"Calluna_vulgaris"	28858
"258"	"Chagford_Common"	"Cirsium_palustre"	0
"259"	"Chagford_Common"	"Convolvulus_sp."	0
"260"	"Chagford_Common"	"Drosera_rotundifolia"	0
"261"	"Chagford_Common"	"Erica_cinerea"	0
"262"	"Chagford_Common"	"Erica_tetralix"	33
"263"	"Chagford_Common"	"Eriophorum angustifolium"	0
"264"	"Chagford_Common"	"Galium_mollugo"	0
