site,MDT,scenario,extthrs,flexthrs,meanrob,sdrob
Braunton_Burrows,dyad,least to most common,0.75,0.5,0.565219008792648,0.0316060318644902
Braunton_Burrows,dyad,random,0.75,0.5,0.530819783541596,0.0395397359212851
Braunton_Burrows,dyad,most to least common,0.75,1,0.668025663525432,0.0204321032346317
Braunton_Burrows,dyad,least to most common,0.75,1,0.718118703241637,0.0202812075197453
Braunton_Burrows,dyad,random,0.75,1,0.693331953849238,0.0272196971914744
Burnham-on-Sea,monad,most to least common,0.25,0,0.487409222224928,0.0374254559063688
Burnham-on-Sea,monad,least to most common,0.25,0,0.566504520152059,0.0385702534074257
Burnham-on-Sea,monad,random,0.25,0,0.526858433424764,0.0488591187695665
Burnham-on-Sea,monad,most to least common,0.25,0.25,0.519348595281052,0.0393883914021967
Burnham-on-Sea,monad,least to most common,0.25,0.25,0.601732212944795,0.0399174257907054
Burnham-on-Sea,monad,random,0.25,0.25,0.563632867352976,0.0498169219863997
Burnham-on-Sea,monad,most to least common,0.25,0.5,0.579737663652853,0.0422984414385698
Burnham-on-Sea,monad,least to most common,0.25,0.5,0.656856022025194,0.0430251207856088
Burnham-on-Sea,monad,random,0.25,0.5,0.618420643887864,0.0517817271954422
Burnham-on-Sea,monad,most to least common,0.25,1,0.721568789741103,0.032276949659653
Burnham-on-Sea,monad,least to most common,0.25,1,0.822245345308264,0.043884275138495
Burnham-on-Sea,monad,random,0.25,1,0.774228295073441,0.0538302295351931
Burnham-on-Sea,monad,most to least common,0.5,0,0.47742913432089,0.0381040656218053
Burnham-on-Sea,monad,least to most common,0.5,0,0.559797728895797,0.0398656713431636
Burnham-on-Sea,monad,random,0.5,0,0.516026633112896,0.0475744170398072
Burnham-on-Sea,monad,most to least common,0.5,0.25,0.509010487771516,0.039403631178033
Burnham-on-Sea,monad,least to most common,0.5,0.25,0.583549094280654,0.042447728738112
Burnham-on-Sea,monad,random,0.5,0.25,0.544105254588045,0.0500243065139624
Burnham-on-Sea,monad,most to least common,0.5,0.5,0.556547457737521,0.0478970271576775
