Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Episyrphus_balteatus	71	22	31	7.603097841	0.709677419
Epuraea_sp.	1	1	1	0	1
Eriothrix_rufomaculata	21	6	9	4.415880433	0.666666667
Eristalinus_aeneus	1	1	1	0	1
Eristalis_abusivus	1	1	1	0	1
Eristalis_arbustorum	26	8	11	4.114829059	0.727272727
Eristalis_horticola	1	1	1	0	1
Eristalis_pertinax	15	6	7.5	2.53968502	0.8
Eristalis_tenax	87	21	28.2	6.427303462	0.744680851
Erynnis_tages	1	1	1	0	1
Eudasyphora_cyanella	1	1	1	0	1
Eudasyphora_cyanicolor	2	1	1	0	1
Eupeodes_corollae	18	11	18	7.075976572	0.611111111
Eupeodes_latifasciatus	1	1	1	0	1
Eupeodes_luniger	2	2	3	2.041241452	0.666666667
Eusphalerum_luteum	26	1	1	0	1
Eutropha_fulvifrons	1	1	1	0	1
Exapion_ulicis	1	1	1	0	1
Exorista_glossatorum	1	1	1	0	1
Fannia_fuscula	1	1	1	0	1
Fannia_rondanii	1	1	1	0	1
Ferdinandia_cuprea	1	1	1	0	1
Figitidae_sp.	3	1	1	0	1
Formica_fusca	17	1	1	0	1
Formica_lemani	43	4	4	0.433012702	1
Glyphipterix_simpliciella	1	1	1	0	1
Gonia_picea	1	1	1	0	1
Grammoptera_ruficornis	1	1	1	0	1
Grapholita_internana	1	1	1	0	1
Gymnopternus_aerosus	1	1	1	0	1
Gymnopternus_assimilis	5	4	5.5	2.518116179	0.727272727
Haematopota_pluvialis	2	2	3	2.041241452	0.666666667
Halictus_tumulorum	23	13	25	10.72567014	0.52
Hebecnema_vespertina	1	1	1	0	1
Hecamede_albicans	2	2	3	2.041241452	0.666666667
Hedychridium_ardens	2	2	3	2.041241452	0.666666667
Helina_calceata	1	1	1	0	1
Helina_evecta	1	1	1	0	1
Helina_parcepilosa	6	4	4.333333333	0.901354894	0.923076923
Helina_protuberans	3	1	1	0	1
Helina_quadrum	5	5	15	10.04158022	0.333333333
Helina_reversio	5	4	5.5	2.518116179	0.727272727
Helina_rothi	1	1	1	0	1
Helina_sp.	1	1	1	0	1
Helophilus_hybridus	1	1	1	0	1
Helophilus_pendulus	6	5	8	4.088856808	0.625
Hercostomus_nigripennis	93	9	12	4.120578438	0.75
Heteronychia_haemorrhoa	1	1	1	0	1
Heterostylodes_nominabilis	1	1	1	0	1
Heterosylodes_sp.	1	1	1	0	1
Hilara_lundbecki	5	2	2	0.353553391	1
Hilara_nigrina	1	1	1	0	1
Hilaria_cornicula	7	2	2	0.353553391	1
Hipparchia_semele	2	2	3	2.041241452	0.666666667
Hoplia_philanthus	5	2	2	0	1
Hoplitis_spinulosa	11	3	3	0.40824829	1
Hybos_culiciformis	4	3	3.5	1.235631707	0.857142857
Hydrellia_griseola	1	1	1	0	1
Hydrellia_maura	10	6	7	1.79062816	0.857142857
Hydrellia_sp.	1	1	1	0	1
Hydrotaea_albipuncta	1	1	1	0	1
Hydrotaea_cinerea	5	4	5.5	2.518116179	0.727272727
Hydrotaea_irritans	1	1	1	0	1
Hylaeus_confusus	1	1	1	0	1
Hylemya_nigrimana	2	1	1	0	1
Hylemya_vagans	6	4	7	4.342481187	0.571428571
Hylemya_variata	3	3	6	4.28660705	0.5
Ichneumonidae_sp._FV	14	8	23	13.5060373	0.347826087
Ichneumoninae_sp._A	1	1	1	0	1
Ichneumoninae_sp._B	1	1	1	0	1
Isomira_murina	18	9	10.5	2.216181024	0.857142857
Lasioglossum_albipes	9	4	4	0.144337567	1
Lasioglossum_calceatum	41	19	35.5	12.87800799	0.535211268
Lasioglossum_fulvicorne	18	7	10	4.441283598	0.7
Lasioglossum_laevigatum	1	1	1	0	1
Lasioglossum_lativentre	3	3	6	4.28660705	0.5
Lasioglossum_leucozonium	4	3	3.5	1.235631707	0.857142857
Lasioglossum_prasinum	3	2	2	0.176776695	1
Lasioglossum_punctatissimum	3	3	6	4.28660705	0.5
Lasioglossum_smaethmanellum	9	7	22	13.48231164	0.318181818
Lasioglossum_villosulum	13	8	11.33333333	4.088870684	0.705882353
Lasioglossum_zonulus	6	6	21	13.45627841	0.285714286
Lasiommata_megera	1	1	1	0	1
Lasius_alienus	8	3	3	0.40824829	1
Lasius_brunneus	1	1	1	0	1
Lejogaster_metallina	5	3	3	0.136082763	1
Leptarthrus_brevirostris	1	1	1	0	1
Leucophora_personata	1	1	1	0	1
Limoniidae_sp.	1	1	1	0	1
Linnaemya_vulpina	4	2	2	0.353553391	1
Lispe_pygmaea	1	1	1	0	1
Lonchoptera_furcata	5	4	5.5	2.518116179	0.727272727
Longitarsus_sp.	2	2	3	2.041241452	0.666666667
